epoch,lr,loss,iou,val_loss,val_iou
0,0.001,0.6785383801028427,0.41439085549049054,0.3388175609425566,0.6235754575540604
1,0.001,0.34041934402565976,0.6406794236183676,0.26234561733167494,0.7051102274344049
2,0.001,0.2981512464435496,0.6771365325520502,0.27104361055467735,0.6852057170082003
3,0.001,0.2697219631862876,0.70007461050954,0.25132111450618283,0.7130625472666369
4,0.001,0.2513751837976356,0.7193049680291169,0.22196275321146797,0.7408910051587623
5,0.001,0.237012717016665,0.7325261693117504,0.21456477854835893,0.7479877848433794
6,0.001,0.22674103474734944,0.7386707121790848,0.20192618794475684,0.7605935102474981
7,0.001,0.21745293616931008,0.7466802472290198,0.20154889217004343,0.7584668874514949
8,0.001,0.21265603118268503,0.7531199820824933,0.19235671870764692,0.7711970008937218
9,0.001,0.20949945454818836,0.7532263823253161,0.19078982587139975,0.7714480408851953
