epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.1609908179232948,0.01010666689923104,1.1242614885171254,7.651330916153768e-09
1,0.001,1.070763070959794,0.0034043463273622622,1.0210519035657246,0.03847838570532198
2,0.001,1.0152278592712,0.16070684553443476,0.9562169214089712,0.3836911249930113
3,0.001,0.9510506178203382,0.28042958605833956,0.8698340157667795,0.4167335791527487
4,0.001,0.8746603583034717,0.3491953214180193,0.7771753420432409,0.4513454053112862
5,0.001,0.7973437848844026,0.3819590098613474,0.6712127116819223,0.48427261209083267
6,0.001,0.7138330108241031,0.43499288874138015,0.5897726354499658,0.5597987555704006
7,0.001,0.641893280179877,0.4681762794340519,0.537945818156004,0.5780237934321141
8,0.001,0.5897373792372251,0.5015386057680347,0.4868091593186061,0.5618416691679855
9,0.001,0.5481836428767757,0.5176102402346735,0.45238850886623067,0.5919477139842726
10,0.001,0.49942246738233065,0.5555364656396689,0.42292904915908974,0.6298005637759647
11,0.001,0.4818880363514549,0.560710336459169,0.41042621185382205,0.6476366959129057
12,0.001,0.4599832412443663,0.5792172324346213,0.392547311882178,0.6574816526645014
13,0.001,0.4437588238402417,0.5912206978101684,0.39012629104157287,0.671844461688884
14,0.001,0.4302663599189959,0.5902402915959019,0.39229007437825203,0.6667193621995985
15,0.001,0.41863605787879543,0.605248417439836,0.36780290740231675,0.6848369183562916
16,0.001,0.40835160550318267,0.6162827710837431,0.3519077058881521,0.7027833711495753
17,0.001,0.40613165372296384,0.6250752936719577,0.35186804085969925,0.7065654130992867
18,0.001,0.39912656969145727,0.6336511210835513,0.35085681329170865,0.7014746911135706
19,0.001,0.4015894657687137,0.6257432644274553,0.3548989550520976,0.6959010558700481
