epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.1943860965616562,0.048861335966625494,1.1073677095908,0.11616985490381485
1,0.001,1.051951624265238,0.192846465453447,0.9876821263065897,0.4070776987403591
2,0.001,0.9523866166587637,0.30728985319808594,0.8686207455571227,0.47742617842324553
3,0.001,0.850005784956347,0.36454510411791136,0.7298954842479658,0.5143332621317329
4,0.001,0.7346976800125187,0.4430461392971246,0.5948712858196082,0.5582210759597214
5,0.001,0.625102244755801,0.48496531173933316,0.47707399725914,0.6129557048324232
6,0.001,0.5419528777358913,0.5234259016026539,0.4471246378192343,0.601741249565273
7,0.001,0.49256989910822957,0.5551785692728233,0.3805386069928253,0.6477034522974078
8,0.001,0.45350631194956165,0.5787611245320301,0.35469443354147745,0.6515541242963683
9,0.001,0.42316094429052176,0.595203032264263,0.3455847103974809,0.651510455931062
10,0.001,0.39676851059208396,0.6185169393441987,0.32167506018443087,0.6697071004728237
11,0.001,0.3807163758187735,0.6256601376642802,0.2937301771411337,0.6965723950018529
12,0.001,0.3625115217531429,0.636116866609374,0.30670458003566853,0.6751343642876275
13,0.001,0.3560389582099033,0.6456475028181851,0.2809882241312929,0.6973162635290246
14,0.001,0.3401083981289583,0.6528550405386679,0.27912390169738227,0.7020918852184221
15,0.001,0.3472607893352749,0.6463548594714925,0.27861213434690213,0.7012627145064261
16,0.001,0.3299699211571397,0.6629498018969487,0.2669408909321829,0.7094705187259654
17,0.001,0.3271752344209607,0.6582659043049197,0.25762617625451983,0.7263623838742821
18,0.001,0.31330890277353657,0.6714976943009157,0.27259588827647924,0.7001213585970578
19,0.001,0.3040070418550187,0.6855162491392883,0.24357952246107317,0.7357370515596864
20,0.001,0.2993406439278306,0.6892045721707252,0.24491845769612858,0.7330539585428925
21,0.001,0.3002231143602804,0.6877573699977468,0.23667835310163857,0.7394641559536137
22,0.001,0.29527406031344117,0.6915797134507715,0.23674258284239588,0.7402952131078253
23,0.001,0.296171668697806,0.6976196252505906,0.23582174039784834,0.7423426985264279
24,0.001,0.29461659403408275,0.6923576803162618,0.23683914610780932,0.7424096419147781
